开始时间||检查类别||检查项||比较方式||阈值||巡检用时||检查指标||指标数值||检查结果
1641259872||集群||存活的TiDB数量||等于||5||475||TiDB节点数量||2||异常_已有
1641259872||集群||存活的TiKV数量||等于||5||388||TiKV节点数量||3||异常_已有
1641259872||集群||存活的TiFlash数量||等于||18||470||TiFlash节点数量||1||异常_已有
1641259872||集群||存活的PD数量||等于||5||435||PD节点数量||3||异常_已有
1641259872||网络||今天网卡流入流量(MB)||小于等于||4096||481||10.3.65.139:9100/eth0||0.029||正常
1641259872||网络||今天网卡流入流量(MB)||小于等于||4096||481||10.3.65.140:9100/eth0||0.371||正常
1641259872||网络||今天网卡流入流量(MB)||小于等于||4096||481||10.3.65.141:9100/eth0||0.057||正常
1641259872||网络||今天网卡流入流量(MB)||小于等于||4096||481||10.3.65.142:9100/eth0||0.056||正常
1641259872||网络||今天网卡流入流量(MB)||小于等于||4096||481||10.3.65.143:9100/eth0||0.058||正常
1641259872||网络||今天网卡流入流量(MB)||小于等于||4096||481||10.3.65.145:9100/eth0||0.008||正常
1641259872||网络||今天网卡流入流量(MB)||小于等于||4096||481||10.3.65.148:9100/eth0||0.014||正常
1641259872||网络||今天网卡流入流量(MB)||小于等于||4096||481||10.3.65.149:9100/eth0||0.267||正常
1641259872||网络||今天网卡流入流量(MB)||小于等于||4096||481||10.3.65.154:9100/eth0||0.005||正常
1641259872||网络||今天网卡流出流量(MB)||小于等于||4096||349||10.3.65.139:9100/eth0||0.032||正常
1641259872||网络||今天网卡流出流量(MB)||小于等于||4096||349||10.3.65.140:9100/eth0||0.019||正常
1641259872||网络||今天网卡流出流量(MB)||小于等于||4096||349||10.3.65.141:9100/eth0||0.134||正常
1641259872||网络||今天网卡流出流量(MB)||小于等于||4096||349||10.3.65.142:9100/eth0||0.133||正常
1641259872||网络||今天网卡流出流量(MB)||小于等于||4096||349||10.3.65.143:9100/eth0||0.487||正常
1641259872||网络||今天网卡流出流量(MB)||小于等于||4096||349||10.3.65.145:9100/eth0||0.011||正常
1641259872||网络||今天网卡流出流量(MB)||小于等于||4096||349||10.3.65.148:9100/eth0||0.030||正常
1641259872||网络||今天网卡流出流量(MB)||小于等于||4096||349||10.3.65.149:9100/eth0||0.007||正常
1641259872||网络||今天网卡流出流量(MB)||小于等于||4096||349||10.3.65.154:9100/eth0||0.008||正常
1641259872||运行状态||表没有创建TiFlash副本||无数据||NA||1417||dm_meta.task-01_loader_checkpoint||无TiFlash副本||异常_已有
1641259872||运行状态||表没有创建TiFlash副本||无数据||NA||1417||dm_meta.task-01_syncer_checkpoint||无TiFlash副本||异常_已有
1641259872||运行状态||表没有创建TiFlash副本||无数据||NA||1417||fuzqc-orm.library_book_tidb||无TiFlash副本||异常_已有
1641259872||运行状态||表没有创建TiFlash副本||无数据||NA||1417||mytestdb.table1||无TiFlash副本||异常_已有
1641259872||运行状态||表没有创建TiFlash副本||无数据||NA||1417||odoo_test.library_book_tidb||无TiFlash副本||异常_已有
1641259872||运行状态||表没有创建TiFlash副本||无数据||NA||1417||odoo_test.library_book_tidb1||无TiFlash副本||异常_已有
1641259872||运行状态||表没有创建TiFlash副本||无数据||NA||1417||odoo_test.library_book_tidb10||无TiFlash副本||异常_已有
1641259872||运行状态||表没有创建TiFlash副本||无数据||NA||1417||odoo_test.library_book_tidb100||无TiFlash副本||异常_已有
1641259872||运行状态||表没有创建TiFlash副本||无数据||NA||1417||odoo_test.library_book_tidb101||无TiFlash副本||异常_已有
1641259872||运行状态||表没有创建TiFlash副本||无数据||NA||1417||odoo_test.library_book_tidb102||无TiFlash副本||异常_已有
1641259872||运行状态||表没有创建TiFlash副本||无数据||NA||1417||odoo_test.library_book_tidb103||无TiFlash副本||异常_已有
1641259872||运行状态||表没有创建TiFlash副本||无数据||NA||1417||odoo_test.library_book_tidb104||无TiFlash副本||异常_已有
1641259872||运行状态||表没有创建TiFlash副本||无数据||NA||1417||odoo_test.library_book_tidb105||无TiFlash副本||异常_已有
1641259872||运行状态||表没有创建TiFlash副本||无数据||NA||1417||odoo_test.library_book_tidb106||无TiFlash副本||异常_已有
1641259872||运行状态||表没有创建TiFlash副本||无数据||NA||1417||odoo_test.library_book_tidb107||无TiFlash副本||异常_已有
1641259872||运行状态||表没有创建TiFlash副本||无数据||NA||1417||odoo_test.library_book_tidb108||无TiFlash副本||异常_已有
1641259872||运行状态||表没有创建TiFlash副本||无数据||NA||1417||odoo_test.library_book_tidb109||无TiFlash副本||异常_已有
1641259872||运行状态||表没有创建TiFlash副本||无数据||NA||1417||odoo_test.library_book_tidb11||无TiFlash副本||异常_已有
1641259872||运行状态||表没有创建TiFlash副本||无数据||NA||1417||odoo_test.library_book_tidb110||无TiFlash副本||异常_已有
1641259872||运行状态||表没有创建TiFlash副本||无数据||NA||1417||odoo_test.library_book_tidb111||无TiFlash副本||异常_已有
1641259872||运行状态||表没有创建TiFlash副本||无数据||NA||1417||odoo_test.library_book_tidb112||无TiFlash副本||异常_已有
1641259872||运行状态||表没有创建TiFlash副本||无数据||NA||1417||odoo_test.library_book_tidb113||无TiFlash副本||异常_已有
1641259872||运行状态||表没有创建TiFlash副本||无数据||NA||1417||odoo_test.library_book_tidb114||无TiFlash副本||异常_已有
1641259872||运行状态||表没有创建TiFlash副本||无数据||NA||1417||odoo_test.library_book_tidb115||无TiFlash副本||异常_已有
1641259872||运行状态||表没有创建TiFlash副本||无数据||NA||1417||odoo_test.library_book_tidb116||无TiFlash副本||异常_已有
1641259872||运行状态||表没有创建TiFlash副本||无数据||NA||1417||odoo_test.library_book_tidb117||无TiFlash副本||异常_已有
1641259872||运行状态||表没有创建TiFlash副本||无数据||NA||1417||odoo_test.library_book_tidb118||无TiFlash副本||异常_已有
1641259872||运行状态||表没有创建TiFlash副本||无数据||NA||1417||odoo_test.library_book_tidb119||无TiFlash副本||异常_已有
1641259872||运行状态||表没有创建TiFlash副本||无数据||NA||1417||odoo_test.library_book_tidb12||无TiFlash副本||异常_已有
1641259872||运行状态||表没有创建TiFlash副本||无数据||NA||1417||odoo_test.library_book_tidb120||无TiFlash副本||异常_已有
1641259872||运行状态||表没有创建TiFlash副本||无数据||NA||1417||odoo_test.library_book_tidb121||无TiFlash副本||异常_已有
1641259872||运行状态||表没有创建TiFlash副本||无数据||NA||1417||odoo_test.library_book_tidb122||无TiFlash副本||异常_已有
1641259872||运行状态||表没有创建TiFlash副本||无数据||NA||1417||odoo_test.library_book_tidb123||无TiFlash副本||异常_已有
1641259872||运行状态||表没有创建TiFlash副本||无数据||NA||1417||odoo_test.library_book_tidb124||无TiFlash副本||异常_已有
1641259872||运行状态||表没有创建TiFlash副本||无数据||NA||1417||odoo_test.library_book_tidb125||无TiFlash副本||异常_已有
1641259872||运行状态||表没有创建TiFlash副本||无数据||NA||1417||odoo_test.library_book_tidb126||无TiFlash副本||异常_已有
1641259872||运行状态||表没有创建TiFlash副本||无数据||NA||1417||odoo_test.library_book_tidb127||无TiFlash副本||异常_已有
1641259872||运行状态||表没有创建TiFlash副本||无数据||NA||1417||odoo_test.library_book_tidb128||无TiFlash副本||异常_已有
1641259872||运行状态||表没有创建TiFlash副本||无数据||NA||1417||odoo_test.library_book_tidb129||无TiFlash副本||异常_已有
1641259872||运行状态||表没有创建TiFlash副本||无数据||NA||1417||odoo_test.library_book_tidb13||无TiFlash副本||异常_已有
1641259872||运行状态||表没有创建TiFlash副本||无数据||NA||1417||odoo_test.library_book_tidb130||无TiFlash副本||异常_已有
1641259872||运行状态||表没有创建TiFlash副本||无数据||NA||1417||odoo_test.library_book_tidb131||无TiFlash副本||异常_已有
1641259872||运行状态||表没有创建TiFlash副本||无数据||NA||1417||odoo_test.library_book_tidb132||无TiFlash副本||异常_已有
1641259872||运行状态||表没有创建TiFlash副本||无数据||NA||1417||odoo_test.library_book_tidb133||无TiFlash副本||异常_已有
1641259872||运行状态||表没有创建TiFlash副本||无数据||NA||1417||odoo_test.library_book_tidb134||无TiFlash副本||异常_已有
1641259872||运行状态||表没有创建TiFlash副本||无数据||NA||1417||odoo_test.library_book_tidb135||无TiFlash副本||异常_已有
1641259872||运行状态||表没有创建TiFlash副本||无数据||NA||1417||odoo_test.library_book_tidb136||无TiFlash副本||异常_已有
1641259872||运行状态||表没有创建TiFlash副本||无数据||NA||1417||odoo_test.library_book_tidb137||无TiFlash副本||异常_已有
1641259872||运行状态||表没有创建TiFlash副本||无数据||NA||1417||odoo_test.library_book_tidb138||无TiFlash副本||异常_已有
1641259872||运行状态||表没有创建TiFlash副本||无数据||NA||1417||odoo_test.library_book_tidb139||无TiFlash副本||异常_已有
1641259872||运行状态||表没有创建TiFlash副本||无数据||NA||1417||odoo_test.library_book_tidb14||无TiFlash副本||异常_已有
1641259872||运行状态||表没有创建TiFlash副本||无数据||NA||1417||odoo_test.library_book_tidb140||无TiFlash副本||异常_已有
1641259872||运行状态||表没有创建TiFlash副本||无数据||NA||1417||odoo_test.library_book_tidb141||无TiFlash副本||异常_已有
1641259872||运行状态||表没有创建TiFlash副本||无数据||NA||1417||odoo_test.library_book_tidb142||无TiFlash副本||异常_已有
1641259872||运行状态||表没有创建TiFlash副本||无数据||NA||1417||odoo_test.library_book_tidb143||无TiFlash副本||异常_已有
1641259872||运行状态||表没有创建TiFlash副本||无数据||NA||1417||odoo_test.library_book_tidb144||无TiFlash副本||异常_已有
1641259872||运行状态||表没有创建TiFlash副本||无数据||NA||1417||odoo_test.library_book_tidb145||无TiFlash副本||异常_已有
1641259872||运行状态||表没有创建TiFlash副本||无数据||NA||1417||odoo_test.library_book_tidb146||无TiFlash副本||异常_已有
1641259872||运行状态||表没有创建TiFlash副本||无数据||NA||1417||odoo_test.library_book_tidb147||无TiFlash副本||异常_已有
1641259872||运行状态||表没有创建TiFlash副本||无数据||NA||1417||odoo_test.library_book_tidb148||无TiFlash副本||异常_已有
1641259872||运行状态||表没有创建TiFlash副本||无数据||NA||1417||odoo_test.library_book_tidb149||无TiFlash副本||异常_已有
1641259872||运行状态||表没有创建TiFlash副本||无数据||NA||1417||odoo_test.library_book_tidb15||无TiFlash副本||异常_已有
1641259872||运行状态||表没有创建TiFlash副本||无数据||NA||1417||odoo_test.library_book_tidb150||无TiFlash副本||异常_已有
1641259872||运行状态||表没有创建TiFlash副本||无数据||NA||1417||odoo_test.library_book_tidb151||无TiFlash副本||异常_已有
1641259872||运行状态||表没有创建TiFlash副本||无数据||NA||1417||odoo_test.library_book_tidb152||无TiFlash副本||异常_已有
1641259872||运行状态||表没有创建TiFlash副本||无数据||NA||1417||odoo_test.library_book_tidb153||无TiFlash副本||异常_已有
1641259872||运行状态||表没有创建TiFlash副本||无数据||NA||1417||odoo_test.library_book_tidb154||无TiFlash副本||异常_已有
1641259872||运行状态||表没有创建TiFlash副本||无数据||NA||1417||odoo_test.library_book_tidb155||无TiFlash副本||异常_已有
1641259872||运行状态||表没有创建TiFlash副本||无数据||NA||1417||odoo_test.library_book_tidb156||无TiFlash副本||异常_已有
1641259872||运行状态||表没有创建TiFlash副本||无数据||NA||1417||odoo_test.library_book_tidb157||无TiFlash副本||异常_已有
1641259872||运行状态||表没有创建TiFlash副本||无数据||NA||1417||odoo_test.library_book_tidb158||无TiFlash副本||异常_已有
