开始时间,检查类别,检查项,比较方式,阈值,巡检用时,检查指标,指标数值,检查结果
1641612592,集群,存活的TiDB数量,等于,3,299,TiDB节点数量,2,异常_已有
1641612592,集群,存活的TiKV数量,等于,3,316,TiKV节点数量,3,正常
1641612592,集群,存活的PD数量,等于,5,319,PD节点数量,3,异常_已有
1641612592,网络,今天网卡流入流量(MB),小于等于,4096,269,10.3.65.139:9100/eth0,0.028,正常
1641612592,网络,今天网卡流入流量(MB),小于等于,4096,269,10.3.65.140:9100/eth0,0.014,正常
1641612592,网络,今天网卡流入流量(MB),小于等于,4096,269,10.3.65.141:9100/eth0,0.059,正常
1641612592,网络,今天网卡流入流量(MB),小于等于,4096,269,10.3.65.142:9100/eth0,0.057,正常
1641612592,网络,今天网卡流入流量(MB),小于等于,4096,269,10.3.65.143:9100/eth0,0.058,正常
1641612592,网络,今天网卡流入流量(MB),小于等于,4096,269,10.3.65.145:9100/eth0,0.008,正常
1641612592,网络,今天网卡流入流量(MB),小于等于,4096,269,10.3.65.148:9100/eth0,0.014,正常
1641612592,网络,今天网卡流入流量(MB),小于等于,4096,269,10.3.65.149:9100/eth0,0.267,正常
1641612592,网络,今天网卡流入流量(MB),小于等于,4096,269,10.3.65.154:9100/eth0,0.005,正常
1641612592,网络,今天网卡流出流量(MB),小于等于,4096,270,10.3.65.139:9100/eth0,0.031,正常
1641612592,网络,今天网卡流出流量(MB),小于等于,4096,270,10.3.65.140:9100/eth0,0.016,正常
1641612592,网络,今天网卡流出流量(MB),小于等于,4096,270,10.3.65.141:9100/eth0,0.136,正常
1641612592,网络,今天网卡流出流量(MB),小于等于,4096,270,10.3.65.142:9100/eth0,0.133,正常
1641612592,网络,今天网卡流出流量(MB),小于等于,4096,270,10.3.65.143:9100/eth0,0.137,正常
1641612592,网络,今天网卡流出流量(MB),小于等于,4096,270,10.3.65.145:9100/eth0,0.011,正常
1641612592,网络,今天网卡流出流量(MB),小于等于,4096,270,10.3.65.148:9100/eth0,0.030,正常
1641612592,网络,今天网卡流出流量(MB),小于等于,4096,270,10.3.65.149:9100/eth0,0.006,正常
1641612592,网络,今天网卡流出流量(MB),小于等于,4096,270,10.3.65.154:9100/eth0,0.008,正常
1641612592,运行状态,表没有主键,无数据,NA,342,dm_meta.task-01_loader_checkpoint,无主键,异常_已有
1641612592,运行状态,表没有主键,无数据,NA,342,dm_meta.task-01_syncer_checkpoint,无主键,异常_已有
1641612592,运行状态,正在执行且超过5分钟的SQL,无数据,NA,642,running_sql_5min.sh,无数据,正常
1641612592,运行状态,执行超过1h的DDL,无数据,NA,873,long_ddl_job.sh,无数据,正常
1641612592,运行状态,TiKV Region数量,小于等于,30000,256,10.3.65.141:20180,1919,正常
1641612592,运行状态,TiKV Region数量,小于等于,30000,256,10.3.65.142:20180,1919,正常
1641612592,运行状态,TiKV Region数量,小于等于,30000,256,10.3.65.143:20180,1919,正常
1641612592,运行状态,goroutine数量,小于等于,50000,268,10.3.65.139:10080,304,正常
1641612592,运行状态,goroutine数量,小于等于,50000,268,10.3.65.140:10080,325,正常
1641612592,运行状态,每个tidb的连接数,小于等于,800,247,10.3.65.139:10080,0,正常
1641612592,运行状态,每个tidb的连接数,小于等于,800,247,10.3.65.140:10080,1,正常
1641612592,运行状态,今天失败Query的类型,无数据,NA,279,failed_query_type.py,无数据,正常
1641612592,运行状态,内存剩余绝对值(MB),大于等于,10240,255,10.3.65.139:9100,27423.125,正常
1641612592,运行状态,内存剩余绝对值(MB),大于等于,10240,255,10.3.65.140:9100,26645.312,正常
1641612592,运行状态,内存剩余绝对值(MB),大于等于,10240,255,10.3.65.141:9100,17047.062,正常
1641612592,运行状态,内存剩余绝对值(MB),大于等于,10240,255,10.3.65.142:9100,14355.438,正常
1641612592,运行状态,内存剩余绝对值(MB),大于等于,10240,255,10.3.65.143:9100,15210.875,正常
1641612592,运行状态,内存剩余绝对值(MB),大于等于,10240,255,10.3.65.145:9100,28162.562,正常
1641612592,运行状态,内存剩余绝对值(MB),大于等于,10240,255,10.3.65.148:9100,25830.562,正常
1641612592,运行状态,内存剩余绝对值(MB),大于等于,10240,255,10.3.65.149:9100,3168.438,异常_已有
1641612592,运行状态,内存剩余绝对值(MB),大于等于,10240,255,10.3.65.154:9100,26367.938,正常
